,load,legend,N,K,scheduler,mean,std,95th
0,0.4,"MLFQ @ 2PQ, 2 Spine",2,2,MLFQ,1.7268659154958792,0.8865248525922511,3.571792597025359
1,0.4,"MLFQ @ 5PQ, 2 Spine",5,2,MLFQ,1.8427748999457476,1.0746861775823628,4.062743392861449
2,0.4,"MP-MLFQ @ 2PQ, 2 Spine",2,2,MP-MLFQ,1.632739590342292,0.7519596608816655,3.167445873122837
3,0.4,"MP-MLFQ @ 2PQ, 4 Spine",2,4,MP-MLFQ,1.6268539936124984,0.6940164972555882,2.9763538742527578
4,0.5,"MLFQ @ 2PQ, 2 Spine",2,2,MLFQ,2.1019851139295547,1.241097234368499,4.808823179923139
5,0.5,"MLFQ @ 5PQ, 2 Spine",5,2,MLFQ,2.2951636158321156,1.5334118405771704,5.516109943497456
6,0.5,"MP-MLFQ @ 2PQ, 2 Spine",2,2,MP-MLFQ,1.9716179168456547,1.064098175077303,4.013527312328098
7,0.5,"MP-MLFQ @ 2PQ, 4 Spine",2,4,MP-MLFQ,1.9735325364560061,0.9896966018147225,3.94372373705664
8,0.6,"MLFQ @ 2PQ, 2 Spine",2,2,MLFQ,2.6683827948194048,1.773203687240555,6.279493379859064
9,0.6,"MLFQ @ 5PQ, 2 Spine",5,2,MLFQ,2.9755068410501493,2.2654696689984095,7.440714766995474
10,0.6,"MP-MLFQ @ 2PQ, 2 Spine",2,2,MP-MLFQ,2.493362855560647,1.671264729702975,5.582497136835892
11,0.6,"MP-MLFQ @ 2PQ, 4 Spine",2,4,MP-MLFQ,2.3921297217699866,1.2827096824318458,5.022879314978898
12,0.7,"MLFQ @ 2PQ, 2 Spine",2,2,MLFQ,3.637848366559275,2.660665585516123,9.273017823600034
13,0.7,"MLFQ @ 5PQ, 2 Spine",5,2,MLFQ,4.133343514201523,3.5191874014919913,11.51282072568228
14,0.7,"MP-MLFQ @ 2PQ, 2 Spine",2,2,MP-MLFQ,3.3042794229450827,2.4138394696588574,7.853668612504695
15,0.7,"MP-MLFQ @ 2PQ, 4 Spine",2,4,MP-MLFQ,3.0788768387691756,2.017751421392179,7.1893381326567205
16,0.8,"MLFQ @ 2PQ, 2 Spine",2,2,MLFQ,5.704153853731666,4.569146585115438,14.797951219303213
17,0.8,"MLFQ @ 5PQ, 2 Spine",5,2,MLFQ,6.584694836057681,6.571890421118472,19.155780214162473
18,0.8,"MP-MLFQ @ 2PQ, 2 Spine",2,2,MP-MLFQ,4.875357713268307,3.919100615683875,13.384574752055983
19,0.8,"MP-MLFQ @ 2PQ, 4 Spine",2,4,MP-MLFQ,4.681536798188499,3.4089832738368817,12.154722132121726
