,load,legend,N,K,scheduler,mean,std,95th
0,0.4,"MLFQ @ 2PQ, 2 Spine",2,2,MLFQ,1.2673555037846405,0.6001941170510896,2.430203818015327
1,0.4,"MLFQ @ 5PQ, 2 Spine",5,2,MLFQ,1.1760712380638174,0.44341915777221663,2.009879866853754
2,0.4,"MP-MLFQ @ 2PQ, 2 Spine",2,2,MP-MLFQ,1.2587113202034508,0.5007136023261475,2.278212415591324
3,0.4,"MP-MLFQ @ 2PQ, 4 Spine",2,4,MP-MLFQ,1.2573077034110216,0.46339833786138585,2.187566083843728
4,0.5,"MLFQ @ 2PQ, 2 Spine",2,2,MLFQ,1.365268381015047,0.7760342354865388,2.8752691952741682
5,0.5,"MLFQ @ 5PQ, 2 Spine",5,2,MLFQ,1.2330667037219483,0.5501361977864943,2.2602515045603324
6,0.5,"MP-MLFQ @ 2PQ, 2 Spine",2,2,MP-MLFQ,1.3310510791655072,0.618657782120159,2.557748285208036
7,0.5,"MP-MLFQ @ 2PQ, 4 Spine",2,4,MP-MLFQ,1.3447903559466095,0.5704550131655893,2.4971767238112084
8,0.6,"MLFQ @ 2PQ, 2 Spine",2,2,MLFQ,1.4950740060232726,1.0157954013523565,3.4305258784493518
9,0.6,"MLFQ @ 5PQ, 2 Spine",5,2,MLFQ,1.3026286086933905,0.6867146735686076,2.589598305851977
10,0.6,"MP-MLFQ @ 2PQ, 2 Spine",2,2,MP-MLFQ,1.4382838012743517,0.8204828117987687,2.9650606993916298
11,0.6,"MP-MLFQ @ 2PQ, 4 Spine",2,4,MP-MLFQ,1.4665569320649503,0.7434597298570771,2.92029864504951
12,0.7,"MLFQ @ 2PQ, 2 Spine",2,2,MLFQ,1.675092586971043,1.360824359119731,4.2358762290250604
13,0.7,"MLFQ @ 5PQ, 2 Spine",5,2,MLFQ,1.3911105605355385,0.8605544171360812,2.9908545888980598
14,0.7,"MP-MLFQ @ 2PQ, 2 Spine",2,2,MP-MLFQ,1.5815320604757281,1.0927583159886178,3.5666400025435485
15,0.7,"MP-MLFQ @ 2PQ, 4 Spine",2,4,MP-MLFQ,1.5985527835028766,0.9712251053398617,3.431481725788693
16,0.8,"MLFQ @ 2PQ, 2 Spine",2,2,MLFQ,1.9467131990098947,1.929950125341932,5.524899443502021
17,0.8,"MLFQ @ 5PQ, 2 Spine",5,2,MLFQ,1.517022704646747,1.1482613817571314,3.556095893790684
18,0.8,"MP-MLFQ @ 2PQ, 2 Spine",2,2,MP-MLFQ,1.8061514803538248,1.6070628423096864,4.606191389017098
19,0.8,"MP-MLFQ @ 2PQ, 4 Spine",2,4,MP-MLFQ,1.8395318827976088,1.4496895208348044,4.506470638132823
