,load,legend,N,K,scheduler,mean,std,95th
0,0.4,"MLFQ @ 2PQ, 2 paths",2,2,MLFQ,1.0801029772555581,0.29012917357586127,1.9999999998380518
1,0.4,"MLFQ @ 5PQ, 2 paths",5,2,MLFQ,1.0107838597470635,0.08803986590116938,1.0000000021517899
2,0.4,"MP-MLFQ @ 2PQ, 2 paths",2,2,MP-MLFQ,1.047226136483857,0.2154707472929831,1.1781907505164197
3,0.4,"MP-MLFQ @ 2PQ, 4 paths",2,4,MP-MLFQ,1.0285732765775768,0.14000650630095135,1.0850726282364183
4,0.5,"MLFQ @ 2PQ, 2 paths",2,2,MLFQ,1.1226498918294947,0.36755130809536807,2.0000000000250058
5,0.5,"MLFQ @ 5PQ, 2 paths",5,2,MLFQ,1.0131073116943736,0.09700033025127722,1.0000000021517899
6,0.5,"MP-MLFQ @ 2PQ, 2 paths",2,2,MP-MLFQ,1.0738730251119957,0.2730816458556051,1.9999999986629131
7,0.5,"MP-MLFQ @ 2PQ, 4 paths",2,4,MP-MLFQ,1.0381970081845808,0.16597830728532678,1.3094672917322765
8,0.6,"MLFQ @ 2PQ, 2 paths",2,2,MLFQ,1.1780105195863277,0.4554945089715663,2.000000000173806
9,0.6,"MLFQ @ 5PQ, 2 paths",5,2,MLFQ,1.016930923120959,0.11051930346754703,1.0000000013459802
10,0.6,"MP-MLFQ @ 2PQ, 2 paths",2,2,MP-MLFQ,1.102409950281742,0.32758391128829284,1.999999999984944
11,0.6,"MP-MLFQ @ 2PQ, 4 paths",2,4,MP-MLFQ,1.0479379692896074,0.18878016604923675,1.4382189845737743
12,0.7,"MLFQ @ 2PQ, 2 paths",2,2,MLFQ,1.256597706983285,0.565577388949877,2.0000000006774368
13,0.7,"MLFQ @ 5PQ, 2 paths",5,2,MLFQ,1.0219990636655407,0.12625888905356264,1.0000000008983083
14,0.7,"MP-MLFQ @ 2PQ, 2 paths",2,2,MP-MLFQ,1.1367151021507835,0.38695436482381046,2.0000000000730798
15,0.7,"MP-MLFQ @ 2PQ, 4 paths",2,4,MP-MLFQ,1.0584586166777783,0.2096588742479676,1.5513104753298392
16,0.8,"MLFQ @ 2PQ, 2 paths",2,2,MLFQ,1.3941076034205198,0.7386520114481806,3.0000000000088933
17,0.8,"MLFQ @ 5PQ, 2 paths",5,2,MLFQ,1.0275453539240684,0.14123496598319044,1.0061090862085942
18,0.8,"MP-MLFQ @ 2PQ, 2 paths",2,2,MP-MLFQ,1.1734134334229833,0.4389704216064621,2.000000000147299
19,0.8,"MP-MLFQ @ 2PQ, 4 paths",2,4,MP-MLFQ,1.069273791244802,0.23447163653629147,1.6071892435791837
